snapshot_date,market,brand,inventory_level,warehouse_status
2026-05-04,DE,NIVEA,4932,NORMAL
2026-05-04,DE,EUCERIN,1673,NORMAL
2026-05-04,DE,LABELLO,2631,NORMAL
2026-05-04,DE,HANSAPLAST,2708,NORMAL
2026-05-04,FR,NIVEA,5354,NORMAL
2026-05-04,FR,EUCERIN,2125,NORMAL
2026-05-04,FR,LABELLO,6278,NORMAL
2026-05-04,FR,HANSAPLAST,3208,NORMAL
2026-05-04,ES,NIVEA,2067,NORMAL
2026-05-04,ES,EUCERIN,6031,NORMAL
2026-05-04,ES,LABELLO,5595,NORMAL
2026-05-04,ES,HANSAPLAST,2562,NORMAL
2026-05-04,IT,NIVEA,4540,NORMAL
2026-05-04,IT,EUCERIN,4402,NORMAL
2026-05-04,IT,LABELLO,2457,NORMAL
2026-05-04,IT,HANSAPLAST,816,LOW
