report_date,market,brand,product_category,sales_amount,units_sold,inventory_level,last_updated_ts
2026-05-07,DE,EUCERIN,DERMOCOSMETICS,5911.51,1194,4443,2026-05-07 08:00:00
2026-05-07,FR,HANSAPLAST,WOUNDCARE,16585.42,537,3604,2026-05-07 09:03:00
2026-05-07,DE,HANSAPLAST,WOUNDCARE,7345.44,1131,2836,2026-05-07 10:06:00
2026-05-07,IT,HANSAPLAST,WOUNDCARE,5744.55,807,2283,2026-05-07 11:09:00
2026-05-07,DE,NIVEA,SKINCARE,14345.65,317,910,2026-05-07 12:12:00
2026-05-07,IT,EUCERIN,DERMOCOSMETICS,4324.75,1240,1156,2026-05-07 13:15:00
2026-05-07,FR,NIVEA,SKINCARE,12128.01,681,3807,2026-05-07 14:18:00
2026-05-07,DE,EUCERIN,DERMOCOSMETICS,11894.33,281,5573,2026-05-07 15:21:00
2026-05-07,DE,HANSAPLAST,WOUNDCARE,13031.91,1357,4782,2026-05-07 16:24:00
2026-05-07,ES,LABELLO,LIPCARE,6461.76,843,2455,2026-05-07 17:27:00
2026-05-07,ES,HANSAPLAST,WOUNDCARE,5397.74,814,4245,2026-05-07 08:30:00
2026-05-07,ES,NIVEA,SKINCARE,3635.07,1472,5112,2026-05-07 09:33:00
2026-05-07,DE,NIVEA,SKINCARE,11295.7,1236,2672,2026-05-07 10:36:00
2026-05-07,FR,LABELLO,LIPCARE,16272.53,700,3527,2026-05-07 11:39:00
2026-05-07,ES,EUCERIN,DERMOCOSMETICS,9853.68,1312,6263,2026-05-07 12:42:00
2026-05-07,ES,NIVEA,SKINCARE,13184.02,1335,2952,2026-05-07 13:45:00
2026-05-07,DE,EUCERIN,DERMOCOSMETICS,7334.76,419,6581,2026-05-07 14:48:00
