report_date,market,brand,product_category,sales_amount,units_sold,inventory_level,last_updated_ts
2026-05-05,IT,HANSAPLAST,WOUNDCARE,7414.24,1340,2299,2026-05-05 08:00:00
2026-05-05,ES,NIVEA,SKINCARE,6821.2,265,3084,2026-05-05 09:03:00
2026-05-05,IT,LABELLO,LIPCARE,4459.73,1361,6381,2026-05-05 10:06:00
2026-05-05,ES,EUCERIN,DERMOCOSMETICS,13003.86,1010,5766,2026-05-05 11:09:00
2026-05-05,IT,EUCERIN,DERMOCOSMETICS,7340.76,705,6602,2026-05-05 12:12:00
2026-05-05,ES,HANSAPLAST,WOUNDCARE,16518.43,1017,3465,2026-05-05 13:15:00
2026-05-05,FR,EUCERIN,DERMOCOSMETICS,10888.13,386,6691,2026-05-05 14:18:00
2026-05-05,DE,NIVEA,SKINCARE,5716.2,527,6988,2026-05-05 15:21:00
2026-05-05,IT,NIVEA,SKINCARE,9079.13,1420,4334,2026-05-05 16:24:00
2026-05-05,ES,NIVEA,SKINCARE,13364.11,434,6084,2026-05-05 17:27:00
2026-05-05,ES,LABELLO,LIPCARE,5117.51,1090,1795,2026-05-05 08:30:00
2026-05-05,IT,NIVEA,SKINCARE,17330.33,739,4600,2026-05-05 09:33:00
2026-05-05,FR,NIVEA,SKINCARE,16122.52,811,5734,2026-05-05 10:36:00
2026-05-05,FR,EUCERIN,DERMOCOSMETICS,8921.75,530,4918,2026-05-05 11:39:00
2026-05-05,DE,LABELLO,LIPCARE,10584.78,429,3473,2026-05-05 12:42:00
2026-05-05,ES,EUCERIN,DERMOCOSMETICS,4339.91,1361,1145,2026-05-05 13:45:00
